Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,"Manier, Mythos und Moral – Niederländische Druckgrafik um 1600",https://codingdavinci.de/de/daten/manier-mythos-und-moral-niederlaendische-druckgrafik-um-1600,,"Mit dem von Prof. Iris Wenderholm an der Universität Hamburg durchgeführten Lehr- und Ausstellungsprojekt „Manier, Mythos und Moral“ wurde einer der wertvollsten und für Hamburger Sammlungen der Frühen Neuzeit aussagekräftigsten Teilbestände der Kupferstichsammlung wissenschaftlich erschlossen und digitalisiert. Mit „Manier“ ist der epochengebundene Stil des Manierismus gemeint, mit „Mythos“ wird auf die beliebten Motive aus der antiken Mythologie angespielt und mit „Moral“ werden die durch Bildinschriften zugewiesenen, meist moralischen Deutungen beschrieben. Der Wert der Stiche liegt ohne Zweifel in ihrer künstlerischen Qualität, bei einigen zusätzlich in ihrer Seltenheit. Zugleich spiegelt dieser Teilbestand den Schwerpunkt Hamburger Privatsammlungen wieder, die sich vornehmlich durch niederländische Kunstwerke auszeichneten. Die 161 digitalisierten Kupferstiche zeigen vor allem Allegorien, d.h. Symbole und Personifizierungen, z.B. für verschiedene Charaktere, die fünf Sinne, Tugenden und Sünden der Menschen oder auch für die vier Elemente, Planeten und Kontinente, in einem kunstsinnigen Zusammenspiel von Wort und Bild. Dabei lassen sich die Blätter in so genannte Denkräume clustern. Darstellungen zum Einfluss der Götter oder Sterne auf die Menschen gehören zu der für die Frühe Neuzeit zentralen Vorstellung einer gegenseitigen Bedingtheit von Mikrokosmos und Makrokosmos. Ordnungssysteme wie Jahres- und Tagzeiten, die Kontinente oder die hier immer wiederkehrende Zahl „vier“ sowie die Allegorisierung menschlicher Fähigkeiten und der Vergänglichkeit des Lebens gehören ebenfalls dazu. Interessant sind die unterschiedlichsten, mitunter sehr ideenreichen und doch ähnlichen Darstellungen der sieben Tugenden und Todsünden. Und schließlich sind da die mythologischen Szenen, die vor allem mit der Darstellung der Götterliebschaften das Wohl und Weh der Liebe visualisieren. Beinahe jedes Detail, und sei es noch so klein, jede Figur, jedes Objekt, jede Szene ist in diesen Stichen bedeutungsschwanger und damit beachtenswert. Deutungshilfe geben die Texte in den Kupferstichen, die alle übersetzt und publiziert wurden in: Manier, Mythos und Moral: niederländische Druckgraphik um 1600 aus den Beständender Staats- und Universitätsbibliothek Hamburg / Iris Wenderholm (Hg.). Petersberg: Imhof,2014. (Publikationen der Staats- und Universitätsbibliothek Carl von Ossietzky; 6). Die Publikation wird zur Verfügung gestellt. Die Metadaten enthalten in aller Regel Angaben zu den Künstlern, Titeln, Titelreihen, Format und Entstehungsdaten. Kontrolliertes Vokabular: über den Kataloglink als Erschließungselemente erreichbar.",,"Gesellschaft und Alltagsleben, Kunst und Kultur","Bild, Foto eines 3D Sammlungsobjektes","CC BY 4.0, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",XML,METS/MODS,,"CC BY 4.0, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",,Nord 2016
Stiftung Historische Museen Hamburg – Museum der Arbeit,Das Werbemittelarchiv von Reemtsma,https://codingdavinci.de/de/daten/das-werbemittelarchiv-von-reemtsma,"Im Jahr 2004 hat das Museum der Arbeit das Archiv der Werbemittelabteilung, heute Marketingabteilung des Zigarettenherstellers Reemtsma übernommen. Die Sammlung enthält Plakate, Anzeigen, Werbeaufsteller, Werbeschilder, Aufkleber, Filme, Fotografien und Packungen aus der Zeit vor dem Ersten Weltkrieg bis heute. Insgesamt sind dies ungefähr 3.500 Plakate, 25.000 Anzeigen, 12.000–15.000 Packungen und über 50.000 weitere Werbemittel.
Für Coding da Vinci Nord steht nun eine Auswahl der Daten bereit. Den Schwerpunkt bildet die NS-Zeit mit insgesamt 2.875 Bildern und Metadaten, der andere Bereich enthält „Maritimes“ mit 742 Bildern und Metadaten. Teilweise sind in diesem Datensatz mehrere Bilder für ein Objekt vorhanden.
Für mehr Informationen über die für Coding da Vinci ausgewählten Digitalisate hinaus kann auch die Online-Recherche im Archiv wahrgenommen werden. Der Bestand wird sukzessive aufgearbeitet und für Forschungen und Ausstellungen zur Verfügung gestellt. In einer Auswahl wird das Material auch für die Onlinerecherche bereitgestellt.
Zur Online-Recherche im Werbemittelarchiv Reemtsma",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos","CC BY, Stiftung Historische Museen Hamburg – Museum der Arbeit",CSV,,,"CC BY, Stiftung Historische Museen Hamburg – Museum der Arbeit",,Nord 2016
"Stadt Leipzig, Stadtarchiv",Hermann Walter: Fotos des Leipziger Stadtarchivs,https://codingdavinci.de/de/daten/hermann-walter-fotos-des-leipziger-stadtarchivs,"Hermann Walter (1838-1909) ist heute als Dokumentarist des ""alten Leipzigs"" bekannt und erlangte besonders durch die frühe Spezialisierung auf Architekturfotografie herausragende Bedeutung. Er erfasste Bauzustände, Abrissarbeiten und begleitete auch langjährige Großbauprojekte des Leipziger Hochbauamtes. Für seine Verdienste erhielt er die Goldene Ehrenmedaille der Stadt Leipzig. Walters Atelier wurde von seinem Sohn und seinem Schwager weitergeführt. Beide schufen zwischen dem Ersten Weltkrieg und 1935 nochmals zahlreiche Aufnahmen, die uns das einstige Leipziger Stadtbild heute näher bringen.
Die Digitalisate liegen im JPEG-Format mit eingebetteten Metadaten vor; die erweiterten Metadaten mit den URLs der Digitalisate werden in einer CSV-Datei zur Verfügung gestellt.
Herkunft: Bildarchiv des Stadtarchivs Leipzig. Das Stadtarchiv verwahrt über 2.000 Originalabzüge. Die Fotografien sind nicht Teil eines abgeschlossenen Bestandes.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos","CC BY, Stadtarchiv Leipzig",CSV,,,"CC0 1.0, Stadtarchiv Leipzig",,Ost 2018
Universitätsbibliothek Leipzig,Illuminierte mittelalterliche Handschriften,https://codingdavinci.de/de/daten/illuminierte-mittelalterliche-handschriften,"Die Leipziger Universitätsbibliothek bewahrt ca. 3.000 mittelalterliche Handschriften auf, die (ganz überwiegend) zwischen dem 8. und dem frühen 16. Jahrhundert entstanden sind. Zahlreiche von ihnen weisen Buchschmuck auf, der von einfachen Tintenzeichnungen auf ganz basalem Niveau bis hin zu äußerst qualitätvollen Schmuckbuchstaben (Initialen) und illustrierenden Miniaturen in Deckfarben und Gold reichen kann.
Die künstlerische Ausschmückung mittelalterlicher Bücher war kein ästhetischer Selbstzweck: Handschriften aus dieser Zeit funktionieren nicht wie heutige Bücher, sie haben zum Beispiel üblicherweise kein Titelblatt, keine Seitenzählungen und kein Inhaltsverzeichnis. Die Orientierung im Buch erfolgte vielmehr über eine optische Navigation, über farbig-graphische Auszeichnungen und hierarchisch abgestufte Buchschmuckelemente. Mit ihnen wurden Text- und Abschnittsanfänge wie auch wichtige Sprungstellen innerhalb eines Fließtextes optisch markiert und waren so für den Leser leicht auffindbar und anzusteuern.
Der hier vorgestellte Datenbestand umfasst IIIF-Manifeste sowie Links zur Präsentation via Mirador von 72 mittelalterlichen Handschriften, die alle besonderen Buchschmuck in hoher oder zumindest interessanter Qualität aufweisen. Bei den Manifest-Dateien handelt es sich um json-Dateien, die Informationen zu den Bilddaten der digitalisierten Handschriftenobjekte, zu deskriptiven Metadaten (z. B. Inhalt, Material, Entstehungszeit und -ort der Handschriften) sowie Informationen zur inhaltlichen Gliederung und zu wichtigen Abschnitten der Handschriftenwerke enthalten.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information","Text, Buch, Handschrift, Bild, Scan eines Fotos",public domain,JSON,,,public domain,,Ost 2018
Landtag Rheinland-Pfalz - Archiv des Landtags Rheinland-Pfalz,Rheinland-Pfalz: Parlamentsdokumente zur Flüchtlingsthematik,https://codingdavinci.de/de/daten/rheinland-pfalz-parlamentsdokumente-zur-fluechtlingsthematik,"Das Archiv des Landtags Rheinland-Pfalz sammelt parlamentarische Unterlagen seit der Beratenden Landesversammlung bzw. der ersten Wahlperiode 1947.
Der Zugang zu älteren Parlamentsdokumenten (1. bis 10. Wahlperiode) ist über die Registerbände der Parlamentsdokumentation möglich. Die eingescannten Bände mit Volltextsuche der Stichwörter befinden sich auf der Internetseite des Landtags Rheinland-Pfalz.
Parlamentsdokumente ab der 11. Wahlperiode (Juni 1987) werden in OPAL, dem Offenen Parlamentarischen Auskunftssystem des Landtags Rheinland-Pfalz, verzeichnet. Diese Datenbank ist ebenfalls über die Internetseite des Landtags zugänglich und bietet Zugriff auf zahlreiche Volltexte im Format PDF. Eine umfangreiche Suchfunktion ermöglicht eine Recherche z.B. nach Abgeordneten, Anfragen, Redebeiträgen in den Plenarsitzungen (seit 2018 auch als Video-Datei), nach einzelnen Dokumenttypen wie Drucksachen oder Vorlagen, nach thematischen Schlagworten etc.
Für den Kultur-Hackathon Coding da Vinci Rhein-Main 2018 wurden parlamentarische Dokumente zum Thema „Flüchtling“ (bzw. zu verwandten Begriffen wie Migrant, Asylbewerber, Aussiedler oder Vertriebener) mit dem Fokus auf Drucksachen und Protokollen der Plenarsitzungen ausgewählt, insbesondere Anfragen der Abgeordneten, Anträge der Fraktionen oder Gesetzentwürfe der Landesregierung.
Bereitgestellt werden die ausgewählten Mediendaten (=Textdokumente) für den Zeitraum 1947 bis 2018 in Form von durchsuchbaren PDF-Dateien. Die ent",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Politik und Militär, Recht und Justiz","Text, Amtliche Publikation, Bericht, Druckwerk, Verzeichnis",public domain,XLS,,,CC BY-SA 4.0,,Rhein-Main 2018
Deutsche Arbeitsgemeinschaft genealogischer Verbände e.V. (DAGV),Nachweise von Familiennamen,https://codingdavinci.de/de/daten/nachweise-von-familiennamen,"Seit fast 30 Jahren sammelt die Deutsche Arbeitsgemeinschaft genealogischer Verbände über die Mitglieder der angeschlossenen Vereine Nachweise von Familiennamen. Es ist also verzeichnet, in welchem Zeitraum ein bestimmter Familienname an einem Ort auftaucht, zum Teil mit Angabe der Konfession. Schwerpunkt der Sammlung ist Mitteleuropa.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Religion und Weltanschauung","Text, Verzeichnis",CC BY-SA 4.0,CSV,,,"CC BY-SA 4.0, Deutsche Arbeitsgemeinschaft genealogischer Verbände / Verein für Computergenealogie",,Nord 2016
Gleimhaus - Museum der deutschen Aufklärung,Herbarien aus den Jahren 1729 bis 1731,https://codingdavinci.de/de/daten/herbarien-aus-den-jahren-1729-bis-1731,"Das Gleimhaus ist eines der ältesten deutschen Literaturmuseen. Grundstock des Kunst-, Buch- und Handschriftenbestandes ist der Nachlass des Dichters und ""Netzwerkers"" Johann Wilhelm Ludwig Gleim (1719-1803). Die Bibliothek gilt als eine der größten privaten bürgerlichen Büchersammlungen des 18. Jahrhunderts. Mit ihrer Bestandsgröße von rund 12.000 Bänden umfasst sie ein großes thematisches Sammlungsspektrum.
Eine echte Rarität ist das umfangreiche dreibändige Herbarium aus den Jahren 1729 bis 1731, das außergewöhnlich gut erhalten ist und die Flora der Zeit im mitteldeutschen Raum hervorragend abbildet. Herbarien dieses Alters und in diesem Umfang sind außerordentlich selten.",,,"Geschichte und Geografie, Kunst und Kultur, Natur und Naturkunde, Sprache und Literatur","Text, Handschrift, Bild, Scan eines Fotos","CC BY, Gleimhaus - Museum der deutschen Aufklärung",XML,,,"CC0 1.0, Gleimhaus - Museum der deutschen Aufklärung",,Ost 2018
Johannes Gutenberg-Universität Mainz,Grafiken von Robert Gerstenkorn,https://codingdavinci.de/de/daten/grafiken-von-robert-gerstenkorn,"Die Kunstgeschichtlichen Sammlungen enthalten verschiedene Materialien (Grafiken, Abgüsse, Mosaike, Karten, Plakate, Dias, Fotos, u.a.), die seit 1946 im Institut für Kunstgeschichte der Johannes Gutenberg-Universität zu Lehr- und Forschungszwecken zusammengetragen wurden. Darunter befindet sich ein kleines Konvolut von 80 Grafiken des vornehmlich im Koblenzer Raum wirkenden Künstlers Robert Gerstenkorn (1877-1965). Es sind überwiegend Bleistift- und Kohle-Zeichnungen, die zwischen 1890 und 1956 entstanden.
Motivisch beschäftigen sich die Kunstwerke meist mit regionaler Landschaft und Darstellungen von Menschen, insbesondere Portraits (Personen meist nicht identifiziert). Stilistisch sind die Arbeiten von Gerstenkorn von einem konservativen Realismus geprägt. Die Arbeiten verweigern sich weitgehend zeitgenössischen Tendenzen der „Klassischen Moderne“. Die frühen Arbeiten weisen mitunter eine Nähe zum Jugendstil auf, später lässt sich mitunter ein Bezug zur „Neuen Sachlichkeit“ feststellen. Zudem sind Aspekte des in den 30/40er Jahren staatlich geförderten Kunstgeschmackes wahrnehmbar, wobei jedoch keine vordergründig politischen Aussagen durch die Grafiken transportiert werden. Der überwiegende Teil kann als Stimmungsbild und Charakterstudien aufgefasst werden. Gerstenkorn ist ein typischer Vertreter eines provinziellen Kunstgeschmacks und an Hand der kleinen Grafiksammlung lässt sich exemplarisch seine ästhetische Entwicklung verfolgen.",,,"Geschichte und Geografie, Kunst und Kultur","Bild, Zeichnung","CC BY-SA, Kunsthistorische Sammlungen, Institut für Kunstgeschichte und Musikwissenschaft, JGU/Mainz",XML,,,"CC0 1.0, Kunsthistorische Sammlungen, Institut für Kunstgeschichte und Musikwissenschaft, JGU/Mainz",,Rhein-Main 2018
Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky,Hamburger Architekturfotos der 1920er Jahre,https://codingdavinci.de/de/daten/hamburger-architekturfotos-der-1920er-jahre,,"Von 1923 bis 1933 fotografierten die Brüder Adolf (gest. 1927) und Carl Dransfeld (1880-1941), die seit 1902 gemeinsam das Photographenatelier Gebr. Dransfeld führten (gegründet in Berlin, seit 1904 in Hamburg), im Auftrag der Hamburger Baudeputation für die Publikation Staatsbauten die Bauten des Oberbaudirektors Fritz Schumacher (1869-1947). Die Backstein- und Klinkerbauten Schumachers gewannen während seiner langen Amtszeit als Leiter des Hochbauwesens von 1909 bis 1933 prägende Kraft für das Hamburger Stadtbild. Schumacher arbeitete eng mit dem Architekten Gustav Oelsner (1879-1956) zusammen, der von 1924 bis 1933 als Bausenator bzw. Stadtbaurat in der Nachbarstadt Altona amtierte, die 1937/38 zu Hamburg kam.

1.200 Glasplattennegative zu Bauten Schumachers und 90 zu denen Oelsners haben als Relikte des Fotoplattenarchivs der Brüder Dransfeld den Zweiten Weltkrieg überstanden, angekauft von der Freien und Hansestadt Hamburg im Jahr 1945, um Dokumentationslücken zum Werk Fritz Schumachers zu schließen. Den Gesamtbestand hat die Staats- und Universitätsbibliothek digitalisiert. Enthalten sind zahlreiche Schul-, Behörden- und Justizgebäude, daneben Brücken, Wohnblöcke, Pavillons, Ehrenmale, Bauten des Friedhofs Ohlsdorf sowie Schmuckelemente der Backsteinarchitektur.

Die künstlerische Qualität der Aufnahmen des Ateliers Dransfeld würdigt der frühere Leiter des Hamburger Denkmalschutzamtes, Manfred F. Fischer, wie folgt: „Die Photographien der Bauten Schumachers zeichnen sich durchgängig durch einen sehr einheitlichen und sehr typischen Stil aus. Äußerst selten frontal, sondern fast immer in der Schrägsicht aufgenommen, betonen sie stets die Dreidimensionalität der Baukörper bzw. Baugruppen. Die Abfolge von Totalansichten über Ausschnitte und gestalterische Details bis zur Präsentation von Innenräumen entspricht stets dem Erlebnis von Architektur durch den Benutzer und Betrachter in der täglichen Realität“ (Manfred F. Fischer: Fritz Schumacher – Hamburger Staatsbauten 1909–1919/21. Eine denkmalpflegerische Bestandsaufnahme. Hamburg 1995, S. 13).

https://de.wikipedia.org/wiki/Carl_Dransfeld https://de.wikipedia.org/wiki/Fritz_Schumacher https://de.wikipedia.org/wiki/Gustav_Oelsner",,"Geschichte und Geografie, Gesellschaft und Alltagsleben","Bild, Scan eines Fotos","CC BY-SA, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",XML,METS/MODS,,"CC0 1.0, Staats- und Universitätsbibliothek Hamburg Carl von Ossietzky",,Nord 2016
Museum für Druckkunst Leipzig,Druckbuchstaben aus Holz,https://codingdavinci.de/de/daten/druckbuchstaben-aus-holz,"Die Daten umfassen Scans von Holzbuchstaben, die zum Drucken von Plakaten verwendet wurden. Die Drucktechnik ist das Hochdruckverfahren, oben liegende Bereiche drucken. Das System der beweglichen Letter geht auf Johannes Gutenberg zurück, der es im 15. Jahrhundert entwickelte. Die Scans umfassen zwei Schriften, von denen weder Name noch Erscheinungsjahr bekannt sind. (Diese Angaben sind bei Holzbuchstaben generell selten zu finden). Da es sich um ein direktes Druckverfahren handelt, ist der eigentliche Scan seitenverkehrt, der Datensatz enthält zusätzlich gespiegelte Daten, die sich für eine Verwendung in diesem Projekt eventuell besser eignen. Heute finden die Objekte vorwiegend im künstlerischen Umfeld Anwendung.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information, Technik und Wissenschaft","Bild, Foto eines 3D Sammlungsobjektes","CC BY-SA 3.0 DE, Museum für Druckkunst Leipzig",,,,"CC BY-SA 3.0 DE, Museum für Druckkunst Leipzig",,Ost 2018
